iter	MultiClass
0	0.4714170788
1	0.3363978473
2	0.2581002325
3	0.2084951276
4	0.1800557927
5	0.1618455711
6	0.1501035806
7	0.1418871092
8	0.1361168083
9	0.1312904694
10	0.1279533463
11	0.1254752282
12	0.1233954823
13	0.1218935851
14	0.1204856962
15	0.1193689218
16	0.118529069
17	0.1177098493
18	0.1170997065
19	0.1164283852
20	0.1159428333
21	0.115483622
22	0.115122815
23	0.1148393337
24	0.1144711211
25	0.1142055568
26	0.1138015676
27	0.1135867366
28	0.1133617
29	0.1131480722
30	0.1129433367
31	0.1128138636
32	0.1126603999
33	0.1125409677
34	0.1123555895
35	0.1121706509
36	0.1120696543
37	0.1119435793
38	0.1118408777
39	0.1117413842
40	0.1116500893
41	0.111543096
42	0.1114297995
43	0.1113223565
44	0.1112429204
45	0.111155313
46	0.1110841437
47	0.1110133074
48	0.1108228361
49	0.1107466351
50	0.1106636692
51	0.1106027895
52	0.1105293918
53	0.1104803151
54	0.1104418132
55	0.1103912505
56	0.1103349577
57	0.1102902546
58	0.1102360615
59	0.1101517901
60	0.1101107402
61	0.1100521659
62	0.1100045146
63	0.1099105625
64	0.1098472111
65	0.1097974421
66	0.1097493678
67	0.1097138898
68	0.1096784307
69	0.1096316893
70	0.1095799904
71	0.1095506999
72	0.109503053
73	0.1094652984
74	0.1094329614
75	0.1094086426
76	0.1093028234
77	0.109263843
78	0.1091909554
79	0.1091459541
80	0.1091180606
81	0.1090908307
82	0.1090452113
83	0.109020889
84	0.1089349263
85	0.1089104077
86	0.1088831429
87	0.1088605046
88	0.1088150985
89	0.1087913298
90	0.1087711115
91	0.1087176194
92	0.1086957448
93	0.1086686544
94	0.1086481062
95	0.1086337414
96	0.1086089716
97	0.1085789932
98	0.1085579334
99	0.108534263
