iter	Passed	Remaining
0	2984	743146
1	5176	641887
2	6831	562462
3	8337	512759
4	10043	492150
5	11299	459527
6	13045	452851
7	14481	438051
8	17037	456237
9	19813	475530
10	23026	500310
11	24714	490161
12	27891	508489
13	30754	518440
14	32205	504550
15	33418	488738
16	36302	497553
17	39627	510748
18	42847	520939
19	45813	526850
20	48612	530110
21	51651	535293
22	53047	523555
23	56086	528150
24	59116	532050
25	61983	534013
26	64792	535138
27	67843	537904
28	70841	539861
29	72947	534949
30	76257	538725
31	77972	531185
32	80763	531079
33	82436	523713
34	84267	517643
35	87239	518589
36	90585	521478
37	93221	520075
38	95818	518400
39	97393	511314
40	99846	508975
41	101727	503794
42	105658	508635
43	109549	512891
44	113544	517256
45	115983	514360
46	119734	517151
47	120806	508395
48	123305	505804
49	125937	503750
50	128438	501163
51	131046	498985
52	134592	500278
53	138128	501356
54	141370	501222
55	142541	493804
56	143824	486985
57	146434	484748
58	148981	482295
59	151772	480612
60	154635	479117
61	157347	477119
62	160230	475606
63	162922	473494
64	165419	470808
65	168070	468559
66	169827	463857
67	172456	461575
68	174060	456594
69	176574	454049
70	179108	451554
71	181719	449251
72	184457	447245
73	187330	445542
74	189764	442784
75	191323	438029
76	193873	435586
77	196417	433125
78	198953	430646
79	201415	428007
80	204080	425797
81	206564	423204
82	209156	420833
83	211172	417317
84	213925	415267
85	218366	416420
86	221657	415290
87	225364	414875
88	228840	413970
89	231462	411488
90	234357	409481
91	237456	407805
92	240587	406153
93	243324	403815
94	245972	401323
95	248952	399361
96	251859	397262
97	254500	394734
98	256983	391964
99	258691	388037
100	259758	383207
101	262521	380913
102	265453	378850
103	266921	374716
104	269527	372204
105	272199	369780
106	273548	365583
107	276489	363532
108	278103	359748
109	280854	357451
110	283339	354813
111	284472	350510
112	287012	347970
113	288883	344633
114	291716	342450
115	294445	340135
116	297286	337940
117	300283	335909
118	303020	333577
119	305817	331302
120	308844	329264
121	311533	326854
122	313351	323541
123	316031	321128
124	318762	318762
125	321766	316658
126	324735	314507
127	326166	310877
128	328867	308472
129	330765	305321
130	333672	303106
131	336250	300587
132	338994	298213
133	341515	295640
134	344097	293119
135	346603	290535
136	348262	287252
137	350769	284682
138	353597	282368
139	356249	279910
140	357273	276190
141	359840	273681
142	362568	271292
143	365201	268828
144	367718	266279
145	369471	263185
146	372036	260678
147	373231	257227
148	376206	255012
149	379227	252818
150	382219	250594
151	383968	247558
152	386868	245269
153	389336	242703
154	392308	240447
155	395239	238157
156	398138	235840
157	400966	233474
158	402085	230124
159	404873	227741
160	407944	225509
161	410815	223159
162	414488	221229
163	418799	219614
164	422940	217878
165	427126	216136
166	429975	213700
167	433571	211624
168	437873	209868
169	441667	207843
170	444959	205565
171	448250	203276
172	451767	201075
173	455516	198961
174	458463	196484
175	461365	193983
176	464571	191602
177	467490	189097
178	470448	186602
179	471896	183515
180	473689	180577
181	476719	178115
182	479589	175587
183	482981	173243
184	486367	170886
185	490742	168857
186	493046	166106
187	496395	163704
188	499241	161130
189	502280	158614
190	505542	156162
191	509692	153969
192	512923	151485
193	515184	148713
194	516827	145771
195	520721	143464
196	522656	140613
197	526492	138270
198	529999	135829
199	533207	133301
200	536815	130865
201	540433	128419
202	544073	125967
203	547521	123460
204	551302	121017
205	554279	118389
206	557162	115739
207	558649	112804
208	561536	110157
209	563302	107295
210	566492	104707
211	569443	102070
212	572480	99444
213	575770	96858
214	578913	94241
215	582344	91665
216	585590	89052
217	588640	86405
218	591523	83731
219	594366	81049
220	597368	78387
221	601590	75876
222	604949	73245
223	608347	70611
224	611300	67922
225	614506	65257
226	617794	62595
227	621258	59945
228	624763	57292
229	628174	54623
230	631662	51954
231	634895	49259
232	636475	46438
233	639888	43753
234	642128	40986
235	644948	38259
236	647546	35519
237	650108	32778
238	652632	30037
239	655244	27301
240	656418	24513
241	658996	21785
242	660341	19022
243	663018	16303
244	665561	13582
245	668361	10867
246	670575	8144
247	672137	5420
248	675063	2711
249	677888	0
